ngram,year,frequency,shift,side
shell shock,1908,1.1143030109739271e-09,1980s_ptsd,old
shell shock,1909,5.156308366394136e-10,1980s_ptsd,old
shell shock,1910,1.7529773743696353e-09,1980s_ptsd,old
shell shock,1911,1.1859068380082327e-09,1980s_ptsd,old
shell shock,1912,2.2892498036108933e-09,1980s_ptsd,old
shell shock,1913,2.929334386170268e-09,1980s_ptsd,old
shell shock,1914,8.916459459662462e-09,1980s_ptsd,old
shell shock,1915,2.567938575670503e-08,1980s_ptsd,old
shell shock,1916,2.515582302464736e-07,1980s_ptsd,old
shell shock,1917,5.551563873260057e-07,1980s_ptsd,old
shell shock,1918,1.2541403369703552e-06,1980s_ptsd,old
shell shock,1919,7.697310540621949e-07,1980s_ptsd,old
shell shock,1920,4.2838534969336095e-07,1980s_ptsd,old
shell shock,1921,2.2749707964675459e-07,1980s_ptsd,old
shell shock,1922,2.6579694481498883e-07,1980s_ptsd,old
shell shock,1923,1.4892951405443e-07,1980s_ptsd,old
shell shock,1924,1.0945499646919377e-07,1980s_ptsd,old
shell shock,1925,9.114947641108984e-08,1980s_ptsd,old
shell shock,1926,8.456867317541139e-08,1980s_ptsd,old
shell shock,1927,1.2451604547436546e-07,1980s_ptsd,old
shell shock,1928,8.684939825642779e-08,1980s_ptsd,old
shell shock,1929,1.399916507160981e-07,1980s_ptsd,old
shell shock,1930,8.402944540186752e-08,1980s_ptsd,old
shell shock,1931,7.227390586006521e-08,1980s_ptsd,old
shell shock,1932,7.682211000670236e-08,1980s_ptsd,old
shell shock,1933,5.865336075161487e-08,1980s_ptsd,old
shell shock,1934,5.3905127750386583e-08,1980s_ptsd,old
shell shock,1935,5.142272607727705e-08,1980s_ptsd,old
shell shock,1936,6.439443628325492e-08,1980s_ptsd,old
shell shock,1937,6.124806861684817e-08,1980s_ptsd,old
shell shock,1938,5.187816443097404e-08,1980s_ptsd,old
shell shock,1939,5.2778680814657974e-08,1980s_ptsd,old
shell shock,1940,5.9233508042932925e-08,1980s_ptsd,old
shell shock,1941,9.719481453007717e-08,1980s_ptsd,old
shell shock,1942,1.1825925305686269e-07,1980s_ptsd,old
shell shock,1943,1.4743829335195358e-07,1980s_ptsd,old
shell shock,1944,1.323455011970065e-07,1980s_ptsd,old
shell shock,1945,9.654396440628155e-08,1980s_ptsd,old
shell shock,1946,5.669794633789138e-08,1980s_ptsd,old
shell shock,1947,4.8773553584791074e-08,1980s_ptsd,old
shell shock,1948,3.884200164283591e-08,1980s_ptsd,old
shell shock,1949,3.205006822437628e-08,1980s_ptsd,old
shell shock,1950,3.812781274037391e-08,1980s_ptsd,old
shell shock,1951,2.8441274058099708e-08,1980s_ptsd,old
shell shock,1952,2.444749663821355e-08,1980s_ptsd,old
shell shock,1953,2.4880473348254384e-08,1980s_ptsd,old
shell shock,1954,2.1369769565016128e-08,1980s_ptsd,old
shell shock,1955,2.066681884654864e-08,1980s_ptsd,old
shell shock,1956,2.5893398564180714e-08,1980s_ptsd,old
shell shock,1957,1.903415614012971e-08,1980s_ptsd,old
shell shock,1958,2.643727092799253e-08,1980s_ptsd,old
shell shock,1959,1.9107003979002002e-08,1980s_ptsd,old
shell shock,1960,1.9517379934441692e-08,1980s_ptsd,old
shell shock,1961,4.184692159459047e-08,1980s_ptsd,old
shell shock,1962,2.0313763920976058e-08,1980s_ptsd,old
shell shock,1963,2.4324010583498534e-08,1980s_ptsd,old
shell shock,1964,2.1583914169842622e-08,1980s_ptsd,old
shell shock,1965,1.4335650597163685e-08,1980s_ptsd,old
shell shock,1966,2.2366797164385943e-08,1980s_ptsd,old
shell shock,1967,1.7019824022357355e-08,1980s_ptsd,old
shell shock,1968,2.4838454293352186e-08,1980s_ptsd,old
shell shock,1969,2.595877079958342e-08,1980s_ptsd,old
shell shock,1970,1.8384646617575218e-08,1980s_ptsd,old
shell shock,1971,2.000802300228255e-08,1980s_ptsd,old
shell shock,1972,2.0998477678890737e-08,1980s_ptsd,old
shell shock,1973,2.1498995361746154e-08,1980s_ptsd,old
shell shock,1974,2.582856195587624e-08,1980s_ptsd,old
shell shock,1975,2.2717332681665425e-08,1980s_ptsd,old
shell shock,1976,3.096612355424355e-08,1980s_ptsd,old
shell shock,1977,1.89972052810905e-08,1980s_ptsd,old
shell shock,1978,2.6071069733624164e-08,1980s_ptsd,old
shell shock,1979,1.867473559125088e-08,1980s_ptsd,old
shell shock,1980,2.6298672184399408e-08,1980s_ptsd,old
shell shock,1981,2.814417033453198e-08,1980s_ptsd,old
shell shock,1982,2.646129221295368e-08,1980s_ptsd,old
shell shock,1983,2.1968710246789147e-08,1980s_ptsd,old
shell shock,1984,3.627322753274598e-08,1980s_ptsd,old
shell shock,1985,3.31077739113006e-08,1980s_ptsd,old
shell shock,1986,4.5137977612574876e-08,1980s_ptsd,old
shell shock,1987,3.3281286556524625e-08,1980s_ptsd,old
shell shock,1988,3.2519906611322424e-08,1980s_ptsd,old
shell shock,1989,3.8955263459428124e-08,1980s_ptsd,old
shell shock,1990,4.3734703247810813e-08,1980s_ptsd,old
shell shock,1991,5.0821983829663075e-08,1980s_ptsd,old
shell shock,1992,4.182739109931388e-08,1980s_ptsd,old
shell shock,1993,4.244032381084395e-08,1980s_ptsd,old
shell shock,1994,4.627003430401899e-08,1980s_ptsd,old
shell shock,1995,6.244580741388006e-08,1980s_ptsd,old
shell shock,1996,5.1802829123537286e-08,1980s_ptsd,old
shell shock,1997,6.215614055046781e-08,1980s_ptsd,old
shell shock,1998,6.354219464488331e-08,1980s_ptsd,old
shell shock,1999,7.012430591757379e-08,1980s_ptsd,old
shell shock,2000,7.767209242448558e-08,1980s_ptsd,old
shell shock,2001,8.90986004420391e-08,1980s_ptsd,old
shell shock,2002,1.0281461360062139e-07,1980s_ptsd,old
shell shock,2003,7.680674102283902e-08,1980s_ptsd,old
shell shock,2004,1.0441200532299022e-07,1980s_ptsd,old
shell shock,2005,1.3608840410128664e-07,1980s_ptsd,old
shell shock,2006,1.0445337028652801e-07,1980s_ptsd,old
shell shock,2007,1.0669633028828618e-07,1980s_ptsd,old
shell shock,2008,1.07982628234915e-07,1980s_ptsd,old
shell shock,2009,1.381418346380059e-07,1980s_ptsd,old
shell shock,2010,1.3096298628889613e-07,1980s_ptsd,old
shell shock,2011,1.5986564466663467e-07,1980s_ptsd,old
shell shock,2012,1.1761378062094541e-07,1980s_ptsd,old
shell shock,2013,1.564915771586073e-07,1980s_ptsd,old
shell shock,2014,2.460043998508965e-07,1980s_ptsd,old
shell shock,2015,2.3926393277751146e-07,1980s_ptsd,old
shell shock,2016,2.325183863782776e-07,1980s_ptsd,old
shell shock,2017,1.919651296186653e-07,1980s_ptsd,old
shell shock,2018,1.906422830988408e-07,1980s_ptsd,old
shell shock,2019,1.4954414565698793e-07,1980s_ptsd,old
war neurosis,1900,2.470668669651843e-10,1980s_ptsd,old
war neurosis,1901,0.0,1980s_ptsd,old
war neurosis,1902,0.0,1980s_ptsd,old
war neurosis,1903,0.0,1980s_ptsd,old
war neurosis,1904,0.0,1980s_ptsd,old
war neurosis,1905,0.0,1980s_ptsd,old
war neurosis,1906,0.0,1980s_ptsd,old
war neurosis,1907,0.0,1980s_ptsd,old
war neurosis,1908,1.0130027372490247e-10,1980s_ptsd,old
war neurosis,1909,0.0,1980s_ptsd,old
war neurosis,1910,9.73876326804124e-11,1980s_ptsd,old
war neurosis,1911,1.8244721011750897e-10,1980s_ptsd,old
war neurosis,1912,3.6627995081417453e-10,1980s_ptsd,old
