label,term,year,n_records
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1970,13
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1971,14
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1972,16
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1973,9
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1974,17
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1975,30
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1976,31
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1977,27
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1978,27
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1979,27
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1980,25
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1981,35
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1982,15
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1983,13
